artists,song_id,year,avg_popularity
Drake,466cKvZn1j45IpxDdYZqdA,2020,87.0000
"Sleepy Hallow', 'Fousheé",4zTPYAf5scZdp0LnwPPeWK,2020,87.0000
"Ariana Grande",6ocbgoVGwYJhOv1GgI9NsF,2019,87.0000
"Roddy Ricch', 'Mustard",07KXEDMj78x68D884wgVEm,2019,87.0000
"Feid', 'Justin Quiles",3iQOfefMGDVDwo8dZoco8T,2019,87.0000
"Mustard', 'Roddy Ricch",3QzAOrNlsabgbMwlZt7TAY,2019,87.0000
"Ava Max",7vgv8KZBSo0TPzyIWG9yzV,2019,87.0000
"Billie Eilish",43zdsphuZLzwA9k4DJhU0I,2019,87.0000
"Dan + Shay', 'Justin Bieber",2wrJq5XKLnmhRXHIAf9xBa,2019,87.0000
"Harry Styles",1ZMiCix7XSAbfAJlEZWMCp,2019,87.0000
XXXTENTACION,3ee8Jmje8o58CHK66QrVC2,2018,87.0000
"Post Malone', '21 Savage",0e7ipj03S05BNilyu5bRzt,2018,87.0000
"Imagine Dragons",0pqnGHJpmpxLKifKRmU6WP,2017,87.0000
XXXTENTACION,7m9OqQk4RVRkw9JJdeAw96,2017,87.0000
"Twenty One Pilots",6xZ4Q2k2ompmDppyeESIY8,2020,86.0000
Halsey,7lidXGPXPYLNThITAOTlkK,2020,86.0000
"Lil Uzi Vert",3kW4z2pIj5VY5fLjBrMRL5,2020,86.0000
"Bad Bunny', 'Don Omar",5XqCz18k96K8tx6DAYM97i,2020,86.0000
"Robin Schulz', 'Alida",61ZM92T2zaXIVsqncThQzC,2020,86.0000
"Bad Bunny', 'Daddy Yankee",69vlMrzHwATKzupwNcUPyK,2020,86.0000
"Lil Uzi Vert",56uXDJRCuoS7abX3SkzHKQ,2020,86.0000
"Sam Smith', 'Demi Lovato",1fipvP2zmef6vN2IwXfJhY,2020,86.0000
"Lady Gaga', 'BLACKPINK",1IWNylpZ477gIVUDpJL66u,2020,86.0000
"Bad Bunny",0FktnzDqjClqU6iqOZVEs2,2020,86.0000
"J Balvin",2lCkncy6bIB0LTMT7kvrD1,2020,86.0000
"Jhay Cortez', 'Bad Bunny",2tFwfmceQa1Y6nRPhYbEtC,2020,86.0000
"PARTYNEXTDOOR', 'Rihanna",4HDCLYli2SUdkq9OjmvhSD,2020,86.0000
Sech,4lMOQR1rRW5hJgJXOtKraL,2020,86.0000
"Madison Beer",4PV0uE5pZSh44E3NqNNDEH,2020,86.0000
"S1mba', 'DTG",4slSrbTK1sNK4I1mDYEthf,2020,86.0000
"Katy Perry",4uqh9bualXNHXXwO2wPorc,2020,86.0000
"J Balvin",4uziEsK1yiqdauKVDPsmVG,2020,86.0000
"Camila Cabello', 'DaBaby",3yOlyBJuViE2YSGn3nVE1K,2019,86.0000
"Doja Cat', 'Gucci Mane",4EivmOT13NMpNSfTKn9p4s,2019,86.0000
"Rauw Alejandro', 'Chencho Corleone",4SJHHpKhcuXwDsCsPqshXj,2019,86.0000
"Y2K', 'bbno$",51Fjme0JiitpyXKuyQiCDo,2019,86.0000
"Ali Gatie",5DqdesEfbRyOlSS3Tf6c29,2019,86.0000
"Alex Rose', 'Rafa Pabön",5m3jpKkgkfoMcym1qjToFg,2019,86.0000
"Dalex', 'Lenny Tavárez', 'Chencho Corleone', 'Juhn', 'Dímelo Flow",5stPVcRqb4qixbafP9e8lt,2019,86.0000
"Sam Fischer",3H3r2nKWa3Yk5gt8xgmsEt,2019,86.0000
"SAINt JHN', 'Imanbek",7fPuWrlpwDcHm5aHCH5D9t,2019,86.0000
"Dímelo Flow', 'Arcangel', 'Sech",7sQKy5vlPQllr0k9IjYJv3,2019,86.0000
24kGoldn,6ap9lSRJ0iLriGLqoJ44cq,2019,86.0000
"Juice WRLD', 'YoungBoy Never Broke Again",6Gg1gjgKi2AK4e0qzsR7sd,2019,86.0000
"JACKBOYS', 'Travis Scott', 'Young Thug",6gi6y1xwmVszDWkUqab1qw,2019,86.0000
"Juice WRLD",6Hj9jySrnFppAI0sEMCZpJ,2019,86.0000
DaBaby,6Ozh9Ok6h4Oi1wUSLtBseN,2019,86.0000
"Lil Tecca",1lOe9qE0vR9zwWQAOk6CoO,2019,86.0000
"Harry Styles",1M4qEo4HE3PRaCOM7EXNJq,2019,86.0000
"Post Malone', 'Swae Lee",3KkXRkHbMCARz0aVfEt68P,2018,86.0000
"Marshmello', 'Bastille",2dpaYNEQHiRxtZbfNsse99,2018,86.0000
"Lady Gaga', 'Bradley Cooper",2VxeLyX666F8uXCJ0dZF8B,2018,86.0000
"Erik Eriksson', 'White Noise Baby Sleep', 'White Noise for Babies",2bRKxuH1o7pTmb1y4GfdEc,2017,86.0000
"Ed Sheeran",0tgVpDi06FyKpA1z0VMD4v,2017,86.0000
"Justin Quiles', 'Daddy Yankee', 'El Alfa",0eeKDrQxjqNl5bX5VCHDcn,2020,85.0000
"Bad Bunny', 'Nicky Jam",5bmSver2b3ZXyuyLKtgnFI,2020,85.0000
"Juice WRLD', 'Trippie Redd",4CNcRgjGw1v9VQaTaytdnD,2020,85.0000
"Selena Gomez",4l0Mvzj72xxOpRrp6h8nHi,2020,85.0000
"YNW Melly', 'Juice WRLD",4S2uhQE8L9V6p7rj7SiauJ,2020,85.0000
"Jonas Brothers",4wNIkl5XGiAACjFBlDWuSd,2020,85.0000
"Don Toliver",7AzlLxHn24DxjgQX73F9fU,2020,85.0000
"Polo G', 'Juice WRLD",2QqJTIlGKRLJC3onkavYEz,2020,85.0000
"Dua Lipa",3AzjcOeAmA57TIOr9zF1ZW,2020,85.0000
"Lil Nas X', 'Billy Ray Cyrus",2YpeDb67231RjR0MgVLzsG,2019,85.0000
"Ariana Grande",3e9HZxeyfWwjeyPAMmWSSQ,2019,85.0000
