year,AVG_tempo,MAX_tempo,MIN_tempo
2010,123.43696549999991,207.676,0
2011,122.39930549999998,210.013,47.986
2012,122.09983700000014,219.331,0
2013,120.78447349999986,212.137,0
2014,122.58466900000012,209.763,0
2015,119.6961051268773,215.669,0
2016,119.0703438293551,209.793,0
2017,116.8402775000001,213.788,0
2018,122.00432499999988,220.099,0
2019,118.86816299999995,210.164,0
2020,121.22870387243746,205.99,0
