artists,song_id,popularity,popularity_segments
"The Weeknd",6t5zloC7h0EQllwYph9brV,66,Popular
"The Weeknd",6u0dQik0aif7FQlrhycG1L,70,"Very Popular"
"The Weeknd",6V9TlCdwLeQes4FX5zxz3f,53,Popular
"The Weeknd",6VwBbL8CzPiC4QV66ay7oR,73,"Very Popular"
"The Weeknd",7DKS0rX27cCEPsK0R6tFWS,72,"Very Popular"
"The Weeknd",7eZ7ODAt9cALYnWLO8F6Fd,63,Popular
"The Weeknd",7GgfQ0edpSP6C7xnX3Y2df,47,"Not Popular"
"The Weeknd",7IpDQcksaT8SxS7vOX4SRm,65,Popular
"The Weeknd",7jGr8wzgwOVLuktY66qM5f,51,Popular
"The Weeknd",7szuecWAPwGoV1e5vGu8tl,91,"Very Popular"
"The Weeknd",7xqANDRz8JFxkwfY65WISy,63,Popular
